NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-FD1,CC-FD1,EEM1,112.7,14.2,7.6,29.2,12.3,31.0,12.7,8.9
CC-FD1,CC-FD1,EEM2,101.4,1.7,7.6,29.2,12.3,31.0,14.1,8.9
CC-FD1,CC-FD1,EEM3,81.7,2.1,7.6,8.9,12.3,31.0,14.1,8.9
CC-FD1,CC-FD1,EEM4,61.4,2.4,6.2,9.0,6.1,19.6,12.3,8.9
CC-FD2,CC-FD2,DEFAULT,117.4,22.6,6.6,22.9,13.4,33.4,8.8,1.2
CC-FD2,CC-FD2,EEM1,109.4,12.7,7.4,22.9,13.2,33.4,10.3,15.5
CC-FD2,CC-FD2,EEM2,100.1,2.7,7.3,22.9,13.2,33.4,11.0,15.5
CC-FD2,CC-FD2,EEM3,84.5,3.7,7.2,6.4,13.2,33.4,11.0,15.5
CC-FD2,CC-FD2,EEM4,62.3,4.2,5.7,6.4,6.3,21.4,8.8,15.5
CC-FD3,CC-FD3,DEFAULT,132.9,29.1,7.9,29.5,13.7,34.8,10.4,0.3
CC-FD3,CC-FD3,EEM1,119.6,14.7,8.9,29.5,13.4,34.8,10.9,13.2
CC-FD3,CC-FD3,EEM2,108.0,2.3,8.8,29.5,13.4,34.8,11.8,13.2
CC-FD3,CC-FD3,EEM3,88.4,2.8,8.8,9.4,13.4,34.8,11.9,13.2
CC-FD3,CC-FD3,EEM4,66.5,3.1,7.0,9.4,6.7,23.1,9.7,13.2
RC-MR1,RC-MR1,DEFAULT,113.6,21.6,8.5,37.8,5.1,31.0,7.8,0.0
RC-MR1,RC-MR1,EEM1,100.5,7.3,10.1,37.3,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM2,96.7,2.4,11.2,37.3,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM3,74.3,2.4,10.9,15.2,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM4,56.4,3.1,8.2,15.2,2.3,18.5,7.2,74.6
RC-MR2,RC-MR2,DEFAULT,107.0,20.7,8.3,43.6,4.8,19.3,8.1,0.0
RC-MR2,RC-MR2,EEM1,99.1,11.8,9.5,43.6,4.8,19.3,7.9,66.8
RC-MR2,RC-MR2,EEM2,92.4,3.5,11.2,43.6,4.8,19.3,7.8,66.8
RC-MR2,RC-MR2,EEM3,65.7,3.6,10.8,17.2,4.8,19.3,7.8,66.8
RC-MR2,RC-MR2,EEM4,51.5,3.9,8.0,17.2,2.0,11.2,7.0,66.8
RC-MR3,RC-MR3,DEFAULT,107.0,21.1,8.0,43.6,4.8,19.3,8.0,0.0
RC-MR3,RC-MR3,EEM1,99.0,12.2,9.1,43.6,4.8,19.3,7.8,66.8
RC-MR3,RC-MR3,EEM2,92.0,3.6,10.8,43.6,4.8,19.3,7.7,66.8
RC-MR3,RC-MR3,EEM3,65.3,3.6,10.4,17.2,4.8,19.3,7.7,66.8
RC-MR3,RC-MR3,EEM4,51.1,3.9,7.6,17.2,2.0,11.2,6.9,66.8
RC-D,RC-D,DEFAULT,138.6,51.7,6.3,22.1,4.7,46.6,6.3,0.0
RC-D,RC-D,EEM1,108.2,21.7,6.8,21.7,4.7,46.6,5.9,100.7
RC-D,RC-D,EEM2,93.1,6.5,6.2,21.7,4.7,46.6,6.6,100.7
RC-D,RC-D,EEM3,81.0,9.2,6.3,6.6,4.7,46.6,6.8,100.7
RC-D,RC-D,EEM4,61.1,10.9,5.0,6.6,2.6,28.3,6.8,100.7
RC-ML,RC-ML,DEFAULT,139.2,44.2,6.3,24.4,5.2,51.7,6.4,0.0
RC-ML,RC-ML,EEM1,111.0,16.2,7.0,23.8,5.2,51.7,6.1,93.0
RC-ML,RC-ML,EEM2,99.7,4.9,6.4,23.8,5.2,51.7,6.7,93.0
RC-ML,RC-ML,EEM3,86.2,6.3,6.4,8.9,5.2,51.7,6.8,93.0
RC-ML,RC-ML,EEM4,63.8,8.0,4.9,8.9,2.9,31.5,6.8,93.0
RC-T,RC-T,DEFAULT,140.0,36.3,6.3,26.9,5.8,57.1,6.6,0.0
RC-T,RC-T,EEM1,114.0,10.4,7.2,26.1,5.8,57.1,6.4,85.2
RC-T,RC-T,EEM2,106.5,3.2,6.5,26.1,5.8,57.1,6.9,85.2
RC-T,RC-T,EEM3,91.8,3.2,6.5,11.2,5.8,57.1,6.9,85.2
RC-T,RC-T,EEM4,66.7,4.9,4.7,11.2,3.2,34.8,6.8,85.2
RC-R,RC-R,DEFAULT,137.8,50.7,6.6,22.1,4.7,46.6,6.3,0.0
RC-R,RC-R,EEM1,107.6,20.7,7.2,21.7,4.7,46.6,5.9,90.5
RC-R,RC-R,EEM2,93.2,6.2,6.5,21.7,4.7,46.6,6.6,90.5
