NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
MU-U1,MU-U1,EEM2,95.4,1.8,7.4,28.3,7.6,35.9,8.5,20.5
MU-U1,MU-U1,EEM3,75.1,5.8,7.3,3.9,7.6,35.9,8.6,20.5
MU-U1,MU-U1,EEM4,49.2,7.3,3.9,3.9,3.3,18.4,6.5,20.5
MU-W,MU-W,DEFAULT,144.0,55.0,5.7,31.3,6.4,33.6,7.2,2.6
MU-W,MU-W,EEM1,129.7,41.4,5.8,31.3,6.5,33.6,6.2,78.1
MU-W,MU-W,EEM2,103.6,14.1,6.5,31.4,6.5,33.6,6.7,78.1
MU-W,MU-W,EEM3,83.3,15.9,6.3,9.4,6.5,33.6,6.8,78.1
MU-W,MU-W,EEM4,73.8,17.0,4.9,9.4,3.1,28.5,6.3,78.1
MU-W2,MU-W2,DEFAULT,126.5,66.3,2.5,13.0,7.7,27.1,4.7,9.6
MU-W2,MU-W2,EEM1,110.5,51.8,1.8,13.0,8.0,27.1,3.5,118.5
MU-W2,MU-W2,EEM2,83.2,24.0,1.8,13.0,8.0,27.1,4.1,118.5
MU-W2,MU-W2,EEM3,73.1,25.9,1.8,1.1,8.0,27.1,4.1,118.5
MU-W2,MU-W2,EEM4,67.2,27.9,1.4,1.1,3.9,24.0,3.8,118.5
RC-D,RC-D,DEFAULT,138.6,51.7,6.3,22.1,4.7,46.6,6.3,0.0
RC-D,RC-D,EEM1,108.2,21.7,6.8,21.7,4.7,46.6,5.9,100.7
RC-D,RC-D,EEM2,93.1,6.5,6.2,21.7,4.7,46.6,6.6,100.7
RC-D,RC-D,EEM3,81.0,9.2,6.3,6.6,4.7,46.6,6.8,100.7
RC-D,RC-D,EEM4,61.1,10.9,5.0,6.6,2.6,28.3,6.8,100.7
RC-HR1,RC-HR1,DEFAULT,111.5,18.6,8.9,48.2,4.3,19.2,9.1,1.9
RC-HR1,RC-HR1,EEM1,103.4,8.3,11.2,48.2,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM2,99.8,2.8,13.2,48.2,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM3,67.2,6.4,13.0,12.1,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM4,52.3,7.0,9.4,12.1,1.7,11.0,7.9,45.8
RC-HR2,RC-HR2,DEFAULT,116.8,19.1,9.2,51.8,3.9,19.0,9.9,3.3
RC-HR2,RC-HR2,EEM1,107.9,7.0,12.3,51.8,3.9,19.0,10.0,28.8
RC-HR2,RC-HR2,EEM2,106.3,3.2,14.4,51.8,3.9,19.0,10.1,28.8
RC-HR2,RC-HR2,EEM3,68.8,9.6,14.4,7.8,3.9,19.0,10.2,28.8
RC-HR2,RC-HR2,EEM4,53.6,10.6,10.2,7.9,1.5,10.9,8.6,28.8
RC-ML,RC-ML,DEFAULT,139.2,44.2,6.3,24.4,5.2,51.7,6.4,0.0
RC-ML,RC-ML,EEM1,111.0,16.2,7.0,23.8,5.2,51.7,6.1,93.0
RC-ML,RC-ML,EEM2,99.7,4.9,6.4,23.8,5.2,51.7,6.7,93.0
RC-ML,RC-ML,EEM3,86.2,6.3,6.4,8.9,5.2,51.7,6.8,93.0
RC-ML,RC-ML,EEM4,63.8,8.0,4.9,8.9,2.9,31.5,6.8,93.0
RC-MR1,RC-MR1,DEFAULT,113.6,21.6,8.4,37.8,5.1,31.0,7.8,0.0
RC-MR1,RC-MR1,EEM1,100.5,7.3,10.1,37.3,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM2,96.7,2.4,11.2,37.3,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM3,74.3,2.4,10.9,15.2,5.1,31.0,7.8,74.6
RC-MR1,RC-MR1,EEM4,56.4,3.1,8.2,15.2,2.3,18.5,7.2,74.6
RC-MR2,RC-MR2,DEFAULT,106.9,20.6,8.2,43.6,4.8,19.3,8.1,0.0
RC-MR2,RC-MR2,EEM1,99.1,11.8,9.5,43.6,4.8,19.3,7.9,66.8
RC-MR2,RC-MR2,EEM2,92.4,3.5,11.2,43.6,4.8,19.3,7.8,66.8
RC-MR2,RC-MR2,EEM3,65.7,3.6,10.8,17.2,4.8,19.3,7.8,66.8
RC-MR2,RC-MR2,EEM4,51.5,3.9,8.0,17.2,2.0,11.2,7.0,66.8
RC-MR3,RC-MR3,DEFAULT,106.9,21.1,7.9,43.6,4.8,19.3,8.0,0.0
RC-MR3,RC-MR3,EEM1,99.0,12.2,9.1,43.6,4.8,19.3,7.8,66.8
RC-MR3,RC-MR3,EEM2,92.0,3.6,10.8,43.6,4.8,19.3,7.7,66.8
RC-MR3,RC-MR3,EEM3,65.3,3.6,10.4,17.2,4.8,19.3,7.7,66.8
RC-MR3,RC-MR3,EEM4,51.1,3.9,7.6,17.2,2.0,11.2,6.9,66.8
RC-R,RC-R,DEFAULT,137.8,50.7,6.6,22.1,4.7,46.6,6.3,0.0
RC-R,RC-R,EEM1,107.6,20.7,7.2,21.7,4.7,46.6,5.9,90.5
RC-R,RC-R,EEM2,93.2,6.2,6.5,21.7,4.7,46.6,6.6,90.5
RC-R,RC-R,EEM3,81.0,8.9,6.6,6.6,4.7,46.6,6.8,90.5
RC-R,RC-R,EEM4,61.0,10.6,5.3,6.6,2.6,28.3,6.8,90.5
RC-T,RC-T,DEFAULT,140.0,36.3,6.3,26.9,5.8,57.1,6.6,0.0
RC-T,RC-T,EEM1,114.0,10.4,7.2,26.1,5.8,57.1,6.4,85.2
RC-T,RC-T,EEM2,106.5,3.2,6.5,26.1,5.8,57.1,6.9,85.2
RC-T,RC-T,EEM3,91.8,3.2,6.5,11.2,5.8,57.1,6.9,85.2
RC-T,RC-T,EEM4,66.7,4.9,4.7,11.2,3.2,34.8,6.8,85.2
RS-I1,RS-I1,DEFAULT,168.9,54.1,9.1,40.2,8.2,43.0,9.4,3.5
RS-I1,RS-I1,EEM1,148.5,33.8,9.6,40.0,8.2,43.0,9.1,109.8
RS-I1,RS-I1,EEM2,124.7,8.5,10.4,40.0,8.2,43.0,9.7,109.8
RS-I1,RS-I1,EEM3,100.3,11.0,10.2,13.3,8.2,43.0,9.8,109.8
RS-I1,RS-I1,EEM4,83.4,11.8,7.8,13.3,3.6,32.8,8.9,109.8
RS-I2,RS-I2,DEFAULT,141.0,49.2,8.2,31.2,9.4,29.5,8.6,6.2
RS-I2,RS-I2,EEM1,123.5,33.2,7.3,31.1,9.3,29.5,7.4,84.4
RS-I2,RS-I2,EEM2,101.2,9.8,7.9,31.2,9.3,29.5,8.0,84.4
RS-I2,RS-I2,EEM3,82.5,11.6,7.7,10.8,9.3,29.5,8.0,84.4
RS-I2,RS-I2,EEM4,65.7,11.8,5.9,10.8,4.0,20.4,7.0,84.4
RS-I3,RS-I3,DEFAULT,178.8,61.2,8.8,24.3,10.2,57.6,11.6,6.1
RS-I3,RS-I3,EEM1,144.8,32.0,8.1,23.6,10.2,57.6,8.0,137.0
RS-I3,RS-I3,EEM2,121.2,7.7,7.6,23.6,10.2,57.6,9.3,137.0
RS-I3,RS-I3,EEM3,106.4,9.5,7.6,6.9,10.2,57.6,9.3,137.0
RS-I3,RS-I3,EEM4,85.2,11.2,5.9,7.0,4.7,41.7,9.4,137.0
RS-I4,RS-I4,DEFAULT,133.7,43.2,8.9,32.4,9.0,25.5,9.7,6.1
RS-I4,RS-I4,EEM1,113.9,25.7,8.0,32.4,8.9,25.5,8.1,91.3
RS-I4,RS-I4,EEM2,96.0,6.4,8.8,32.4,8.9,25.5,8.6,91.3
RS-I4,RS-I4,EEM3,76.7,7.4,8.7,12.3,8.9,25.5,8.6,91.3
RS-I4,RS-I4,EEM4,61.3,8.0,6.5,12.2,3.7,17.3,7.4,91.3
RS-S,RS-S,DEFAULT,202.1,61.0,8.6,37.4,7.8,73.6,9.1,0.0
RS-S,RS-S,EEM1,182.0,42.1,9.0,36.5,7.8,73.6,8.6,97.1
RS-S,RS-S,EEM2,152.5,12.2,8.2,36.5,7.8,73.6,9.7,97.1
RS-S,RS-S,EEM3,130.5,16.8,8.2,9.8,7.8,73.6,9.8,97.1
RS-S,RS-S,EEM4,107.9,18.5,6.4,9.8,4.0,55.2,9.6,97.1
