NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
RC-ML,RC-ML,EEM2,97.9,3.6,6.1,23.8,5.2,51.7,6.5,89.4
RC-ML,RC-ML,EEM3,84.5,5.0,6.1,8.9,5.2,51.7,6.6,89.4
RC-ML,RC-ML,EEM4,61.7,6.4,4.6,8.9,2.9,31.5,6.5,89.4
RC-T,RC-T,DEFAULT,135.3,32.0,5.9,26.9,5.8,57.1,6.5,0.0
RC-T,RC-T,EEM1,111.5,8.1,7.1,26.1,5.8,57.1,6.3,81.4
RC-T,RC-T,EEM2,105.3,2.3,6.3,26.1,5.8,57.1,6.7,81.4
RC-T,RC-T,EEM3,90.5,2.3,6.3,11.2,5.8,57.1,6.8,81.4
RC-T,RC-T,EEM4,65.0,3.8,4.5,11.2,3.2,34.8,6.6,81.4
RC-R,RC-R,DEFAULT,131.4,44.8,6.1,22.1,4.7,46.6,6.2,0.0
RC-R,RC-R,EEM1,103.6,17.1,6.9,21.7,4.7,46.6,5.8,87.0
RC-R,RC-R,EEM2,91.1,4.7,6.2,21.7,4.7,46.6,6.4,87.0
RC-R,RC-R,EEM3,78.9,7.4,6.2,6.6,4.7,46.6,6.5,87.0
RC-R,RC-R,EEM4,58.7,8.8,5.0,6.6,2.6,28.3,6.5,87.0
RC-HR1,RC-HR1,DEFAULT,146.6,32.6,6.4,48.2,5.1,41.6,9.6,1.9
RC-HR1,RC-HR1,EEM1,120.1,1.4,11.3,48.1,5.1,41.6,9.4,44.0
RC-HR1,RC-HR1,EEM2,120.5,0.5,13.0,48.1,5.1,41.6,9.1,44.0
RC-HR1,RC-HR1,EEM3,88.3,4.1,12.8,12.5,5.1,41.6,9.1,44.0
RC-HR1,RC-HR1,EEM4,57.9,5.7,6.7,12.4,2.0,20.6,7.4,44.0
RC-HR2,RC-HR2,DEFAULT,155.0,36.3,6.1,51.8,4.6,41.7,10.7,3.3
RC-HR2,RC-HR2,EEM1,125.0,1.1,11.9,51.8,4.6,41.7,10.0,26.0
