zone,building_id,building_type,standard,env_flag,hvac_flag,dhw_flag,eem4_flag,scenario_tag,EUI_total_kWh_m2,EUI_heating_kWh_m2,EUI_cooling_kWh_m2,EUI_DHW_kWh_m2,EUI_lights_kWh_m2,EUI_equip_kWh_m2,EUI_fans_pumps_kWh_m2,PV_gen_kWh_m2,pv_track,n_severes,n_warnings,idf_path,output_path
Z4,CC-E1,CC-E1,CAN_Z4,1,1,1,1,EEM_J_ENV_HVAC_DHW_EEM4,45.6322,2.4799,2.3151,1.6547,8.3219,17.367,5.4079,25.3868,tier3,77,3466,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_DHW_EEM4_20260707_170432\CC-E1_EEM_J_ENV_HVAC_DHW_EEM4_20260707_170432.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_DHW_EEM4_20260707_170432\results
Z4,CC-E1,CC-E1,CAN_Z4,1,1,0,1,EEM_J_ENV_HVAC_EEM4,55.3071,1.3909,2.3228,12.4238,8.3219,17.367,5.3991,25.3868,tier3,97,3156,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_EEM4_20260707_170411\CC-E1_EEM_J_ENV_HVAC_EEM4_20260707_170411.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_ENV_HVAC_EEM4_20260707_170411\results
Z4,CC-E1,CC-E1,CAN_Z4,0,1,1,0,EEM_J_HVAC_DHW,67.7136,2.7212,2.7358,1.6514,16.4568,28.8029,7.3153,25.3868,tier3,23,1927,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_HVAC_DHW_20260707_170258\CC-E1_EEM_J_HVAC_DHW_20260707_170258.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_HVAC_DHW_20260707_170258\results
Z4,CC-E1,CC-E1,CAN_Z4,0,1,0,0,EEM_J_HVAC_ONLY,77.386,1.6274,2.7431,12.4228,16.4568,28.8029,7.306,25.3868,tier3,24,1605,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_HVAC_ONLY_20260707_170235\CC-E1_EEM_J_HVAC_ONLY_20260707_170235.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E1\CC-E1_EEM_J_HVAC_ONLY_20260707_170235\results
Z4,CC-E2,CC-E2,CAN_Z4,0,0,0,0,EEM_J_DEFAULT,275.0424,156.0375,8.2852,20.9225,22.9114,32.5822,27.9561,0.9406,native,55,1360,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_DEFAULT_20260707_170438\CC-E2_EEM_J_DEFAULT_20260707_170438.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_DEFAULT_20260707_170438\results
Z4,CC-E2,CC-E2,CAN_Z4,0,0,1,0,EEM_J_DHW_ONLY,258.7513,157.629,7.8988,3.4899,22.9289,32.5822,27.8927,45.6727,tier3,49,1695,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_DHW_ONLY_20260707_170506\CC-E2_EEM_J_DHW_ONLY_20260707_170506.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_DHW_ONLY_20260707_170506\results
Z4,CC-E2,CC-E2,CAN_Z4,1,0,0,0,EEM_J_ENVELOPE,267.9779,148.2043,8.387,20.9128,22.9931,32.5822,28.4072,45.6727,tier3,264,1373,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENVELOPE_20260707_170459\CC-E2_EEM_J_ENVELOPE_20260707_170459.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENVELOPE_20260707_170459\results
Z4,CC-E2,CC-E2,CAN_Z4,1,0,0,1,EEM_J_ENVELOPE_EEM4,236.4614,138.8282,6.8624,20.9207,12.7892,23.6873,26.7428,45.6727,tier3,132,2554,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENVELOPE_EEM4_20260707_170658\CC-E2_EEM_J_ENVELOPE_EEM4_20260707_170658.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENVELOPE_EEM4_20260707_170658\results
Z4,CC-E2,CC-E2,CAN_Z4,1,0,1,0,EEM_J_ENV_DHW,252.7223,150.386,8.3691,3.4861,22.9931,32.5822,28.4085,45.6727,tier3,175,1715,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENV_DHW_20260707_170607\CC-E2_EEM_J_ENV_DHW_20260707_170607.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENV_DHW_20260707_170607\results
Z4,CC-E2,CC-E2,CAN_Z4,1,0,1,1,EEM_J_ENV_DHW_EEM4,221.0895,140.8569,6.8486,3.4983,12.7892,23.6873,26.7741,45.6727,tier3,124,2897,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENV_DHW_EEM4_20260707_170713\CC-E2_EEM_J_ENV_DHW_EEM4_20260707_170713.idf,C:\Users\o_iseri\Desktop\idf_reader\0_BEM_Setup\SimResults_neighbourhoods\option_9_j_20260707_v2\CAN_Z4\CC-E2\CC-E2_EEM_J_ENV_DHW_EEM4_20260707_170713\results
